Medallero en los Juegos Panamericanos de Santiago 2023;;;;
Pa’s;Oro;Plata;Bronce;Total
Estados Unidos;124;75;87;286
Brasil;66;73;66;205
MŽxico;52;38;52;142
Canad‡;46;55;63;164
Cuba;30;22;17;69
Colombia;29;38;34;101
Argentina;17;25;33;75
Chile;12;31;36;79
Perœ;10;6;16;32
Venezuela;8;15;21;44
Repœblica Dominicana;8;7;17;32
Ecuador;7;12;17;36
Puerto Rico;3;6;11;20
Equipo de Atletas Independientes;3;4;12;19
Uruguay;2;5;3;10
Panam‡;2;1;5;8
Bolivia;2;1;2;5
Costa Rica;1;1;7;9
El Salvador;1;1;2;4
Trinidad y Tobago;1;1;2;4
Paraguay;1;0;6;7
Jamaica;1;0;5;6
Aruba;0;2;1;3
Nicaragua;0;2;0;2
Bahamas;0;1;2;3
Guyana;0;1;2;3
Hait’;0;1;3;3
Antigua y Barbuda;0;1;0;1
Surinam;0;1;0;1
Barbados;0;0;2;2
Bermudas;0;0;1;1
Dominica;0;0;1;1
Honduras;0;0;1;1
San Crist—bal y Nieves;0;0;1;1